AStar; 20; 5; 362.00; 0
UCS; 20; 5; 378.96; 0
AStar; 20; 10; 315.02; 1
UCS; 20; 10; 358.76; 1
AStar; 20; 20; 223.11; 4
UCS; 20; 20; 317.00; 4
AStar; 20; 25; 176.68; 16
UCS; 20; 25; 291.59; 16
AStar; 20; 30; 139.69; 24
UCS; 20; 30; 254.88; 24
AStar; 30; 5; 814.36; 0
UCS; 30; 5; 853.94; 0
AStar; 30; 10; 712.84; 1
UCS; 30; 10; 808.78; 1
AStar; 30; 20; 482.52; 8
UCS; 30; 20; 715.62; 8
AStar; 30; 25; 360.74; 15
UCS; 30; 25; 665.80; 15
AStar; 30; 30; 271.79; 26
UCS; 30; 30; 587.33; 26
